scenario,method,replications,successful_replications,failure_rate,mean_estimate,median_estimate,bias,mcse_bias,rmse,median_abs_error,p95_abs_error,empirical_sd,average_estimated_se,coverage_95,mcse_coverage_95,average_ci_width,mean_runtime_seconds
A,difference_in_means,200.0,200.0,0.0,1.9258932200772443,1.9401400263216788,0.9258932200772443,0.006796492834137094,0.93084398565982,0.9401400263216788,1.064053470839833,0.09611692342608233,0.09758725359624926,0.0,0.0,0.38253500479765096,0.0005358640700182545
A,ols_adjusted,200.0,200.0,0.0,0.9950402131065141,1.00278810048313,-0.004959786893485973,0.004728297734864318,0.06688499518175835,0.047327108795707756,0.12314271587506523,0.06686822783583103,0.06889845486100057,0.965,0.012995191418367032,0.27007698023603965,0.001221622860036809
A,lasso_plugin,200.0,200.0,0.0,1.161223441216172,1.1644020062691114,0.16122344121617194,0.004890670488245604,0.17536479380046358,0.16440200626911125,0.2682546875299314,0.06916452533574781,,,,,0.0028686072599861706
A,parametric_ipw,200.0,200.0,0.0,0.9942747121830535,0.9981666829761839,-0.005725287816946451,0.005717583665892569,0.08085938877401096,0.05355217289290795,0.17687888320525028,0.0808588436430815,0.12095045854650475,1.0,0.0,0.4741170853295084,0.0028779503399936827
A,parametric_aipw,200.0,200.0,0.0,0.995327687386625,0.9973426920625745,-0.004672312613374957,0.0048855194902097795,0.0690769306086465,0.046912091862768804,0.12971762679838816,0.0690916792229276,0.07022118588500438,0.965,0.012995191418367032,0.27526199057260214,0.002718382909999898
A,dml_plr_lasso,200.0,200.0,0.0,1.044444103484633,1.0463009342982792,0.04444410348463296,0.004598115940268147,0.0786299542438006,0.056214908860167154,0.14562649919992238,0.0650271792409113,0.06734061619829586,0.9,0.021213203435596423,0.26397036489078907,0.021976368430005045
A,dml_plr_lasso_rich,200.0,200.0,0.0,1.0478632022902772,1.0487273562835742,0.04786320229027713,0.004573095052741694,0.0803281557574967,0.0583175012285125,0.14223920829419287,0.06467333045608609,0.06756048511325025,0.92,0.019183326093250873,0.26483223520005006,0.038294379415015053
