scenario,method,replications,successful_replications,failure_rate,mean_estimate,median_estimate,bias,mcse_bias,rmse,median_abs_error,p95_abs_error,empirical_sd,average_estimated_se,coverage_95,mcse_coverage_95,average_ci_width,mean_runtime_seconds
B,difference_in_means,200.0,200.0,0.0,1.9011828229454908,1.8995875454275974,0.9011828229454909,0.007548889114602063,0.9074528307400066,0.8995875454275977,1.0703721296062847,0.10675741366720863,0.10533787406997173,0.0,0.0,0.4129168787703207,0.0006918559599909672
B,ols_adjusted,200.0,200.0,0.0,1.0031892542042389,0.9952629211278792,0.0031892542042389837,0.006453530689145897,0.09109409945310973,0.0622281731352451,0.1768807977624689,0.09126670625781115,0.11501043109072889,0.985,0.008595056718835545,0.4508326055685088,0.3643411926849956
B,lasso_plugin,200.0,200.0,0.0,1.1952117913938691,1.1981617365190491,0.19521179139386916,0.004948302729758457,0.2073169018202933,0.19816173651904895,0.3066454419191969,0.06997956831152218,,,,,0.012832967795006832
B,parametric_ipw,200.0,187.0,0.06499999999999995,142.31477041986642,0.8920336861311482,141.31477041986642,261.3772206994077,3567.5099780435844,1.915024338528469,242.73111882391476,3574.2797359191495,391.88783950112065,1.0,0.0,1536.1721028028194,0.011695825969996985
B,parametric_aipw,200.0,187.0,0.06499999999999995,-86.87574842620855,0.9618463172647184,-87.87574842620855,86.29841362928788,1180.2294520214089,0.4292186763785968,31.169035156875562,1180.1130574873835,98.20786122546413,0.9679144385026738,0.012887020008899375,384.96774200123457,0.0686490218050039
B,dml_plr_lasso,200.0,200.0,0.0,1.0558399053025178,1.0533959265496118,0.05583990530251784,0.004957852862904788,0.08949623300020257,0.0647520656492233,0.17481990748264123,0.07011462758970229,0.06938189998772958,0.905,0.02073342711661533,0.27197205030982013,0.10711400323499898
B,dml_plr_lasso_rich,200.0,200.0,0.0,1.0587964196611523,1.058737507299885,0.0587964196611524,0.0052603949780816416,0.09467680959311099,0.0632079487597974,0.18820833088424008,0.07439321921442378,0.07112327652525079,0.85,0.025248762345905194,0.27879812090394934,1.0386471408549993
