scenario,method,replications,successful_replications,failure_rate,mean_estimate,median_estimate,bias,mcse_bias,rmse,median_abs_error,p95_abs_error,empirical_sd,average_estimated_se,coverage_95,mcse_coverage_95,average_ci_width,mean_runtime_seconds
A,difference_in_means,200.0,200.0,0.0,1.9258932200772443,1.9401400263216788,0.9258932200772443,0.006796492834137094,0.93084398565982,0.9401400263216788,1.064053470839833,0.09611692342608233,0.09758725359624926,0.0,0.0,0.38253500479765096,0.0005358640700182545
A,ols_adjusted,200.0,200.0,0.0,0.9950402131065141,1.00278810048313,-0.004959786893485973,0.004728297734864318,0.06688499518175835,0.047327108795707756,0.12314271587506523,0.06686822783583103,0.06889845486100057,0.965,0.012995191418367032,0.27007698023603965,0.001221622860036809
A,lasso_plugin,200.0,200.0,0.0,1.161223441216172,1.1644020062691114,0.16122344121617194,0.004890670488245604,0.17536479380046358,0.16440200626911125,0.2682546875299314,0.06916452533574781,,,,,0.0028686072599861706
A,parametric_ipw,200.0,200.0,0.0,0.9942747121830535,0.9981666829761839,-0.005725287816946451,0.005717583665892569,0.08085938877401096,0.05355217289290795,0.17687888320525028,0.0808588436430815,0.12095045854650475,1.0,0.0,0.4741170853295084,0.0028779503399936827
A,parametric_aipw,200.0,200.0,0.0,0.995327687386625,0.9973426920625745,-0.004672312613374957,0.0048855194902097795,0.0690769306086465,0.046912091862768804,0.12971762679838816,0.0690916792229276,0.07022118588500438,0.965,0.012995191418367032,0.27526199057260214,0.002718382909999898
A,dml_plr_lasso,200.0,200.0,0.0,1.044444103484633,1.0463009342982792,0.04444410348463296,0.004598115940268147,0.0786299542438006,0.056214908860167154,0.14562649919992238,0.0650271792409113,0.06734061619829586,0.9,0.021213203435596423,0.26397036489078907,0.021976368430005045
A,dml_plr_lasso_rich,200.0,200.0,0.0,1.0478632022902772,1.0487273562835742,0.04786320229027713,0.004573095052741694,0.0803281557574967,0.0583175012285125,0.14223920829419287,0.06467333045608609,0.06756048511325025,0.92,0.019183326093250873,0.26483223520005006,0.038294379415015053
B,difference_in_means,200.0,200.0,0.0,1.9011828229454908,1.8995875454275974,0.9011828229454909,0.007548889114602063,0.9074528307400066,0.8995875454275977,1.0703721296062847,0.10675741366720863,0.10533787406997173,0.0,0.0,0.4129168787703207,0.0006918559599909672
B,ols_adjusted,200.0,200.0,0.0,1.0031892542042389,0.9952629211278792,0.0031892542042389837,0.006453530689145897,0.09109409945310973,0.0622281731352451,0.1768807977624689,0.09126670625781115,0.11501043109072889,0.985,0.008595056718835545,0.4508326055685088,0.3643411926849956
B,lasso_plugin,200.0,200.0,0.0,1.1952117913938691,1.1981617365190491,0.19521179139386916,0.004948302729758457,0.2073169018202933,0.19816173651904895,0.3066454419191969,0.06997956831152218,,,,,0.012832967795006832
B,parametric_ipw,200.0,187.0,0.06499999999999995,142.31477041986642,0.8920336861311482,141.31477041986642,261.3772206994077,3567.5099780435844,1.915024338528469,242.73111882391476,3574.2797359191495,391.88783950112065,1.0,0.0,1536.1721028028194,0.011695825969996985
B,parametric_aipw,200.0,187.0,0.06499999999999995,-86.87574842620855,0.9618463172647184,-87.87574842620855,86.29841362928788,1180.2294520214089,0.4292186763785968,31.169035156875562,1180.1130574873835,98.20786122546413,0.9679144385026738,0.012887020008899375,384.96774200123457,0.0686490218050039
B,dml_plr_lasso,200.0,200.0,0.0,1.0558399053025178,1.0533959265496118,0.05583990530251784,0.004957852862904788,0.08949623300020257,0.0647520656492233,0.17481990748264123,0.07011462758970229,0.06938189998772958,0.905,0.02073342711661533,0.27197205030982013,0.10711400323499898
B,dml_plr_lasso_rich,200.0,200.0,0.0,1.0587964196611523,1.058737507299885,0.0587964196611524,0.0052603949780816416,0.09467680959311099,0.0632079487597974,0.18820833088424008,0.07439321921442378,0.07112327652525079,0.85,0.025248762345905194,0.27879812090394934,1.0386471408549993
C,difference_in_means,200.0,200.0,0.0,1.865057637391351,1.853873798822057,0.8650576373913509,0.007685886507144366,0.8718257930560704,0.853873798822057,1.036683309779793,0.10869484937263939,0.1089429083632242,0.0,0.0,0.427048353525934,0.0007533670149973179
C,ols_adjusted,200.0,200.0,0.0,1.4977818843355402,1.4890253613148703,0.49778188433554027,0.00821930557732046,0.5111072727159555,0.48902536131487034,0.7041178738468815,0.11623853420735417,0.15081706417451476,0.04,0.013856406460551017,0.5911920280722301,0.37427388971500475
C,lasso_plugin,200.0,200.0,0.0,1.5499844192407792,1.539976842476714,0.5499844192407792,0.006589828525527299,0.5577854458183649,0.5399768424767138,0.7168559751021459,0.09319424874513801,,,,,0.012083584060002248
C,parametric_ipw,200.0,200.0,0.0,1.461889334659461,1.5520958222000911,0.46188933465946036,1.1265977077805933,15.899326979391079,0.8981250237769143,12.60977011575839,15.93249757681756,3.9911110347342476,0.795,0.028546015483776364,15.64486777275903,0.009335409330018318
C,parametric_aipw,200.0,200.0,0.0,0.8261147373156547,1.4626096925309133,-0.17388526268434526,0.34486300998563224,4.8679980197399955,0.6006604966025686,5.284480713991303,4.877099458824892,1.3988979456600164,0.53,0.03529164207004259,5.483579183081404,0.07245520936500607
C,dml_plr_lasso,200.0,200.0,0.0,1.4922570665059323,1.4825589713983272,0.4922570665059324,0.006676972868821564,0.5011874209280704,0.482558971398327,0.6597848022847254,0.09442665586684648,0.09308527596080353,0.0,0.0,0.36488757674829414,0.11036112326499616
C,dml_plr_lasso_rich,200.0,200.0,0.0,1.0177204391586525,1.0153389061920781,0.017720439158652547,0.005406247108334109,0.07829615581529704,0.05303109690996995,0.14404216573253206,0.07645587982146425,0.07089697906374023,0.945,0.016120638945153514,0.2779110511552424,1.0661792485599948
D,difference_in_means,200.0,200.0,0.0,2.3268486072296546,2.3263497714053565,1.3268486072296548,0.0070277341631838405,1.330547123161552,1.3263497714053565,1.4842883581126531,0.09938716966327321,0.1043705749986783,0.0,0.0,0.40912513608629225,0.0007031425800095735
D,ols_adjusted,200.0,200.0,0.0,1.879662690762874,1.8715327998696492,0.8796626907628741,0.009302777521190473,0.8893976848251429,0.8715327998696489,1.0889803553360087,0.13156114138207128,0.16178628852365104,0.0,0.0,0.634190597397524,0.3620697163850082
D,lasso_plugin,200.0,200.0,0.0,1.9378133496947496,1.9402787000657664,0.9378133496947495,0.00720018154171846,0.9432977043850969,0.9402787000657665,1.1156132766555493,0.10182594387846668,,,,,0.01242930260501448
D,parametric_ipw,200.0,75.0,0.625,104708.11169739335,3.1538022608015748,104707.11169739335,104031.30040904693,901015.7754640126,5.024023176089218,6696.361935520398,900937.4894296512,104957.68033161176,0.92,0.03132624033192194,411426.546701654,0.015900435904986757
D,parametric_aipw,200.0,75.0,0.625,51914.40462035546,1.9937862984252093,51913.40462035546,51765.102816645594,448316.0893064185,2.078784940704109,1320.7096910929797,448298.94068728486,51924.877661252955,0.7733333333333333,0.048344443167598755,203541.78023540837,0.03845625056999093
D,dml_plr_lasso,200.0,200.0,0.0,1.853047690942405,1.8543391372390965,0.8530476909424052,0.007267085116789822,0.8591854617688826,0.8543391372390966,1.0257813020721178,0.10277210331083834,0.0997200614590923,0.0,0.0,0.3908954579918833,0.10890953424500363
D,dml_plr_lasso_rich,200.0,200.0,0.0,1.051228594401312,1.0483453170657768,0.05122859440131198,0.00598092915715157,0.09870612993793436,0.06749819918723735,0.1849406310567197,0.08458311129636435,0.08212475697511706,0.9,0.021213203435596423,0.3219231318206683,1.0055178935000186
